route_num,video_name,window_idx,window_start_sec,window_end_sec,car_count,cyclist_motorcycle_count,dynamic_object_area_ratio,large_vehicle_ratio,person_count,total_object_count,traffic_sign_count,truck_bus_count,car_speed_mean,car_accel_mean,car_jerk_mean,person_speed_mean,cyclist_speed_mean,pedestrian_crossing_count,min_ttc,risk_count
2,CUT 1,0,0.0,3.0,3.0,0.0,0.00405060450236,0.0,0.0,3.0,0.0,0.0,2.530609257816028,60.15752329632705,1569.752318686542,,,0,23.632695702689112,0
2,CUT 1,1,1.0,4.0,3.0,0.0,0.0042930516931745,0.0,0.0,3.0,1.0,0.0,2.7422835034508304,72.88068631388187,1703.6375887760769,,,0,19.11486767035297,0
2,CUT 1,2,2.0,5.0,3.0,0.0,0.0045361892382303,0.0,0.0,3.0,1.0,0.0,3.119043992027684,87.49002226524574,1850.3695371225328,,,0,16.264931164745196,0
2,CUT 1,3,3.0,6.0,3.0,0.0,0.0047913180457221,0.0,0.0,3.0,0.0,0.0,3.298840249430974,94.37216333982391,1968.1917177663497,,,0,22.03255639756238,0
2,CUT 1,4,4.0,7.0,3.0,0.0,0.0049282561408148,0.0,0.0,3.0,0.0,0.0,3.5155094742684825,98.85904743093288,2085.179735915391,,,0,14.765170343903804,0
2,CUT 1,5,5.0,8.0,3.0,0.0,0.0051250108083089,0.0,0.0,3.0,0.0,0.0,6.919093330609043,207.42691988089987,4919.461201680267,,,0,6.966836153869752,0
2,CUT 1,6,6.0,9.0,3.0,0.0,0.0066669911808437,0.0,0.0,3.0,0.0,0.0,12.536088646686558,364.2352400413153,8826.492445464644,,,0,4.4992844271777805,0
2,CUT 1,7,7.0,10.0,3.0,0.0,0.0109534857008192,0.0,0.0,3.0,0.0,0.0,18.271077412408346,548.5653417919034,12740.123073781277,,,0,3.989402141671643,0
2,CUT 1,8,8.0,11.0,3.0,0.0,0.0154637930128309,0.0,0.0,3.0,0.0,0.0,19.87694936659913,587.5015259329426,14029.77817427103,,,0,4.272846504437874,0
2,CUT 1,9,9.0,12.0,3.0,0.0,0.0186139244503445,0.0,0.0,3.0,0.0,0.0,21.79501672642849,662.4762222382784,15803.675991139004,,,0,4.349537786614203,0
2,CUT 1,10,10.0,13.0,3.0,0.0,0.0220857291751437,0.0,0.0,3.0,0.0,0.0,30.058824582149963,834.7036999477746,21107.914734477064,,,0,4.92180914866137,0
2,CUT 1,11,11.0,14.0,3.0,0.0,0.0220857291751437,0.0,0.0,3.0,0.0,0.0,34.236469887775854,910.5790107820796,23529.08117276448,,,0,4.227063806466028,0
2,CUT 1,12,12.0,15.0,2.0,0.0,0.0107787328296237,0.0,0.0,2.0,0.0,0.0,43.09554997450101,1027.2703967688265,27352.33611088344,,,0,4.770535041153957,0
2,CUT 1,13,13.0,16.0,2.0,0.0,0.0107787328296237,0.0,0.0,2.0,0.0,0.0,21.31174125680127,436.0880335845743,10180.996932357422,,,0,12.425915473179163,0
2,CUT 1,14,14.0,17.0,2.0,0.0,0.0111672470304701,0.0,0.0,2.0,0.0,0.0,36.74264580227821,625.7840807434063,14280.434255702108,,,0,34.24440442315913,0
2,CUT 1,15,15.0,18.0,1.0,0.0,0.0062935964266459,0.0,0.0,1.0,0.0,0.0,39.98365487786519,701.0137610144131,15500.049358625318,,,0,,0
2,CUT 1,16,16.0,19.0,1.0,0.0,0.0055256109767489,0.0,0.0,1.0,0.0,0.0,37.00120311919662,814.0397570917177,16552.66951378763,,,0,1.6485721265669453,1
2,CUT 1,17,17.0,20.0,1.0,0.0,0.0047357074419657,0.0,0.0,1.0,0.0,0.0,27.015408524744203,609.0049109938155,11419.5813618494,,,0,2.2176674960866385,1
2,CUT 1,18,18.0,21.0,2.0,0.0,0.0041684920257992,0.0,0.0,2.0,0.0,0.0,40.92528019653876,784.7656803492979,15841.70627192908,,,0,12.371996285900234,0
2,CUT 1,19,19.0,22.0,2.0,0.0,0.004745922088623,0.0,0.0,2.0,0.0,0.0,42.66682963301602,845.6641320830142,16171.09909539732,,,0,,0
2,CUT 1,20,20.0,23.0,3.0,0.0,0.0098360533184475,0.0,0.0,3.0,0.0,0.0,35.876741033741325,607.7522388782154,12997.16077958617,,,0,,0
2,CUT 1,21,21.0,24.0,3.0,0.0,0.0098360533184475,0.0,0.0,3.0,0.0,0.0,16.609991206812314,308.1771751220231,6163.351288955702,,,0,,0
2,CUT 1,22,22.0,25.0,3.0,0.0,0.008405233754052,0.0,0.0,3.0,0.0,0.0,9.18285658305922,163.9001308663611,3492.864434152716,,,0,,0
2,CUT 1,23,23.0,26.0,3.0,0.0,0.0078759831852383,0.0,0.0,3.0,0.0,0.0,6.810467651572952,129.59303433970555,2745.4066432423274,,,0,8.029170733157098,0
