feature,target,shap_importance,feat_mean,feat_std,feat_p10,feat_p90,beta_shap,delta_per_sigma,pdp_at_p10,pdp_at_p90,pdp_delta_p10_p90,unit_change_ref,delta_per_unit,shap_r,sens_rank
sky_visibility,arousal,0.027297238494376798,0.2810281217098236,0.07951715588569641,0.1974603235721588,0.36508187651634216,-0.32393068004003644,-0.025758046380903225,0.12849354562098173,0.05788631321296118,-0.07060723240802055,0.016762155294418334,-0.0054297763634576285,-0.7213441472240213,1
building_oppression,arousal,0.01034109567112541,0.08035635948181152,0.04936680570244789,0.024988839402794838,0.12794701755046844,0.17592581256824227,0.008684895407101682,0.06188620948044301,0.08002271891952827,0.018136509439085256,0.010295817814767362,0.0018113001151175325,0.7174350849698475,2
sidewalk_coverage,arousal,0.014260402169168542,0.010485039092600346,0.009526594541966915,0.0014673937112092972,0.02612237259745598,-0.8653281267162477,-0.008243630208985461,0.07157852115343903,0.05971241452005449,-0.01186610663338454,0.0024654978886246683,-0.002133464669386448,-0.3850276612925965,3
road_coverage,arousal,0.008823083577257668,0.3351650834083557,0.052854519337415695,0.26127609610557556,0.41115468740463257,-0.13787861727191938,-0.007287508042814801,0.08787206818705538,0.06513097597499111,-0.022741092212064273,0.014987859129905702,-0.002066505292697711,-0.5860001773624112,4
min_ttc,arousal,0.007349294989011974,4.687301158905029,12.587323188781738,0.4951356053352356,5.888311862945557,0.00048141203707387643,0.006059688897618659,0.06783878469863522,0.07255734330104031,0.004718558602405096,0.5393176257610321,0.00025963399684746503,0.535386491723492,5
traffic_sign_count,arousal,0.006672257675167455,2.4000000953674316,2.120927572250366,0.0,5.0,-0.0027572796276225317,-0.0058479903866288496,0.08411244463041928,0.0652840876000138,-0.018828357030405488,0.5,-0.0013786398138112659,-0.6328729647628109,6
wall_fence_coverage,arousal,0.0062983321036910594,0.010482918471097946,0.011622828431427479,0.001556785311549902,0.02106119692325592,0.44404069151047887,0.005161008773998712,0.06692983398506834,0.07838666243081985,0.011456828445751507,0.0019504411611706018,0.0008660752419566955,0.632513385683235,7
green_coverage,arousal,0.006696385675873608,0.03179039806127548,0.02801506407558918,0.0014829523861408234,0.07370513677597046,-0.18140862404502062,-0.005082174226485721,0.08796015385106887,0.0683440997380219,-0.01961605411304697,0.0072222184389829636,-0.001310172709568476,-0.6364642456751104,8
openness_index,arousal,0.006158003380683679,0.4856235384941101,0.045958273112773895,0.45210325717926025,0.5298765897750854,-0.10057953320616647,-0.00462246165664431,0.08213384567892316,0.07187392042481004,-0.010259925254113123,0.0077773332595825195,-0.000782240548837603,-0.5400555402893787,9
semantic_monotony_fatigue,arousal,0.005965929998702682,32.08749771118164,25.499265670776367,8.410290718078613,66.2598648071289,-0.00016286421249200642,-0.0041529178225954465,0.07345886174754188,0.06182661898592625,-0.011632242761615626,5.784957408905029,-0.0009421625327011155,-0.6099070672103484,10
car_speed_mean,arousal,0.004770308977738177,51.33443832397461,48.274681091308594,9.948451042175293,83.83279418945312,5.987523841512215e-05,0.002890458039756091,0.07275180823909792,0.07488324425086522,0.002131436011767296,7.388434314727784,0.0004423842661087957,0.463267476993214,11
total_object_count,arousal,0.008676423831372652,5.891666889190674,3.645878553390503,2.0,11.100000381469727,-0.0005129096352701384,-0.0018700062390587429,0.0758736122636512,0.06180405938805947,-0.014069552875591737,0.9100000381469727,-0.00046674778766177586,-0.1767052197537236,12
dynamic_object_area_ratio,arousal,0.005114803897482373,0.01821993663907051,0.018092870712280273,0.0020707808434963226,0.04729824885725975,-0.08419483041074648,-0.0015233261812639994,0.0730894348494212,0.06907220409595519,-0.0040172307534660084,0.004522746801376343,-0.0003807918999326273,-0.2572884149189975,13
enclosure_crowding_stress,arousal,0.006471180940443352,293.7424011230469,1275.64697265625,0.002587884198874235,2.8843817710876465,4.386434267363069e-07,0.0005595541593917335,0.06923365411068634,0.06923365411068634,0.0,0.2881793886888772,1.2640799456926322e-07,0.06925195181391057,14
drivable_width_mean,arousal,0.00722422935367468,0.18034662306308746,0.09548429399728775,0.017005005851387978,0.27810245752334595,-0.004714288100830325,-0.000450140471007598,0.08296469030622496,0.08100147447528687,-0.0019632158309380865,0.0261097451671958,-0.00012308886095742323,-0.05242411738615224,15
