feature,target,shap_importance,feat_mean,feat_std,feat_p10,feat_p90,beta_shap,delta_per_sigma,pdp_at_p10,pdp_at_p90,pdp_delta_p10_p90,unit_change_ref,delta_per_unit,shap_r,sens_rank
sky_visibility,arousal,0.02605224773287773,0.2810281217098236,0.07951715588569641,0.1974603235721588,0.36508187651634216,-0.3415868125231895,-0.027162011819904616,0.10417360812425613,0.05281370133161545,-0.051359906792640686,0.016762155294418334,-0.005725731198039064,-0.7285828526710106,1
sidewalk_coverage,arousal,0.01397479884326458,0.010485039092600346,0.009526594541966915,0.0014673937112092972,0.02612237259745598,-1.1372016877741675,-0.010833659391864947,0.05055254325270653,0.049135491251945496,-0.001417052000761032,0.0024654978886246683,-0.002803768360147619,-0.4630223871961658,2
road_coverage,arousal,0.010743166320025921,0.3351650834083557,0.052854519337415695,0.26127609610557556,0.41115468740463257,-0.1443224256362798,-0.00762809243661549,0.08653147518634796,0.06148774176836014,-0.025043733417987823,0.014987859129905702,-0.002163084184722853,-0.5235787551020663,3
openness_index,arousal,0.008151218295097351,0.4856235384941101,0.045958273112773895,0.45210325717926025,0.5298765897750854,-0.15962227120074052,-0.007335963934724896,0.08498711884021759,0.06210732087492943,-0.022879797965288162,0.0077773332595825195,-0.0012414355987796202,-0.637919533030193,4
traffic_sign_count,arousal,0.008403698913753033,2.4000000953674316,2.120927572250366,0.0,5.0,-0.0029525036483460635,-0.006262046394946965,0.07972178608179092,0.05688697472214699,-0.022834811359643936,0.5,-0.0014762518241730317,-0.5834187313250352,5
green_coverage,arousal,0.0072484384290874004,0.03179039806127548,0.02801506407558918,0.0014829523861408234,0.07370513677597046,-0.21825995570607823,-0.006114566644241038,0.08948255330324173,0.062128886580467224,-0.027353666722774506,0.0072222184389829636,-0.0015763210765920431,-0.6806926038974046,6
semantic_monotony_fatigue,arousal,0.004103901796042919,32.08749771118164,25.499265670776367,8.410290718078613,66.2598648071289,-0.000132369773481234,-0.003375332020778474,0.071265809237957,0.0581093393266201,-0.013156469911336899,5.784957408905029,-0.0007657535018153451,-0.6849178322239211,7
drivable_coverage,arousal,0.005537048447877169,0.017429037019610405,0.01254394743591547,0.0009738498483784497,0.03040657564997673,0.23300234450730348,0.0029227691619446825,0.06453544646501541,0.06432421505451202,-0.00021123141050338745,0.0029432725801598284,0.0006857894117013003,0.3416999959030816,8
dynamic_object_area_ratio,arousal,0.007030402775853872,0.01821993663907051,0.018092870712280273,0.0020707808434963226,0.04729824885725975,-0.12803235743600574,-0.002316472890078108,0.06963241100311279,0.07282456010580063,0.0031921491026878357,0.004522746801376343,-0.0005790579350663677,-0.28176334546323006,9
building_oppression,arousal,0.007026372943073511,0.08035635948181152,0.04936680570244789,0.024988839402794838,0.12794701755046844,0.03655597510265795,0.0018046517201564375,0.06267514079809189,0.06731005758047104,0.00463491678237915,0.010295817814767362,0.00037637365969813786,0.22374727182538445,10
enclosure_crowding_stress,arousal,0.005718598607927561,293.7424011230469,1275.64697265625,0.002587884198874235,2.8843817710876465,1.3316468537452e-06,0.0016987112776272845,0.06407426297664642,0.06407426297664642,0.0,0.2881793886888772,3.8375317626175844e-07,0.306775171753739,11
drivable_width_mean,arousal,0.004528824705630541,0.18034662306308746,0.09548429399728775,0.017005005851387978,0.27810245752334595,-0.017746225093075125,-0.0016944857741292305,0.07330488413572311,0.0667201578617096,-0.006584726274013519,0.0261097451671958,-0.00046334941485988706,-0.2507969866254509,12
total_object_count,arousal,0.005411237012594938,5.891666889190674,3.645878553390503,2.0,11.100000381469727,0.00034215333351386815,0.0012474495006292799,0.06482210755348206,0.061563197523355484,-0.0032589100301265717,0.9100000381469727,0.0003113595465497339,0.16626693066694354,13
car_speed_mean,arousal,0.0074822623282670975,51.33443832397461,48.274681091308594,9.948451042175293,83.83279418945312,-2.225340019883518e-05,-0.0010742757977960315,0.0642118826508522,0.059033773839473724,-0.005178108811378479,7.388434314727784,-0.00016441778564844393,-0.06354400168736846,14
car_accel_mean,arousal,0.004311660770326853,1755.696533203125,1786.402099609375,286.2078857421875,2960.265380859375,-4.5581996691455486e-07,-0.0008142777459400367,0.06564008444547653,0.06190604716539383,-0.0037340372800827026,267.40574951171874,-0.00012188887989519338,-0.10581593388715077,15
