feature,target,shap_importance,feat_mean,feat_std,feat_p10,feat_p90,beta_shap,delta_per_sigma,pdp_at_p10,pdp_at_p90,pdp_delta_p10_p90,unit_change_ref,delta_per_unit,shap_r,sens_rank
sky_visibility,valence,0.044396028079847924,0.2810281217098236,0.07951715588569641,0.1974603235721588,0.36508187651634216,0.5567541940177677,0.0442715100357261,-0.1936397782919159,-0.08843780482576405,0.10520197346615184,0.016762155294418334,0.009332400260944538,0.7770275460202843,1
green_coverage,valence,0.02477796257656569,0.03179039806127548,0.02801506407558918,0.0014829523861408234,0.07370513677597046,0.8114806754589668,0.022733683119085343,-0.15005093480938,-0.09130286980831864,0.05874806500106136,0.0072222184389829636,0.005860690697178101,0.8552404838356789,2
sidewalk_coverage,valence,0.022859997736451105,0.010485039092600346,0.009526594541966915,0.0014673937112092972,0.02612237259745598,1.6008618577595561,0.015250761836575203,-0.13096575385828346,-0.09230055842843282,0.03866519542985064,0.0024654978886246683,0.00394692153028595,0.47381350216406165,3
drivable_width_mean,valence,0.009875309930182544,0.18034662306308746,0.09548429399728775,0.017005005851387978,0.27810245752334595,-0.10075305558940774,-0.009620334381024085,-0.10868854559600001,-0.1386090927419001,-0.029920547145900075,0.0261097451671958,-0.0026306366062557483,-0.7908566198854677,4
total_object_count,valence,0.0086335390562656,5.891666889190674,3.645878553390503,2.0,11.100000381469727,-0.002333702510810796,-0.00850839593415865,-0.10653190605276093,-0.11899727370782638,-0.012465367655065451,0.9100000381469727,-0.0021236693738615102,-0.7994243638635364,5
building_oppression,valence,0.005147310507541098,0.08035635948181152,0.04936680570244789,0.024988839402794838,0.12794701755046844,-0.16291792690770282,-0.008042737643098173,-0.10710145283986616,-0.12121303487035014,-0.014111582030483974,0.010295817814767362,-0.0016773732942012936,-0.8995687595401904,6
openness_index,valence,0.01111638011355043,0.4856235384941101,0.045958273112773895,0.45210325717926025,0.5298765897750854,0.16495120458553822,0.0075808725106232076,-0.1297418008917283,-0.10221899047304217,0.027522810418686122,0.0077773332595825195,0.001282880489631307,0.5887971791191523,7
min_ttc,valence,0.010205930433245886,4.687301158905029,12.587323188781738,0.4951356053352356,5.888311862945557,-0.000508187815189627,-0.00639672427039272,-0.10933898950272875,-0.12298273828207715,-0.013643748779348402,0.5393176257610321,-0.0002740746459287558,-0.426580011666724,8
traffic_sign_count,valence,0.010084137939946067,2.4000000953674316,2.120927572250366,0.0,5.0,0.00281802058762668,0.005976817563466605,-0.1410978360588939,-0.11219918699606356,0.028898649062830337,0.5,0.00140901029381334,0.5052819630993801,9
car_accel_mean,valence,0.010078985118754602,1755.696533203125,1786.402099609375,286.2078857421875,2960.265380859375,-3.155642270455276e-06,-0.0056372459775574,-0.10571039837660441,-0.13126200232590143,-0.025551603949297022,267.40574951171874,-0.000843836886521955,-0.49408512008680755,10
car_jerk_mean,valence,0.007036585643219353,37140.32421875,34504.07421875,5333.28515625,74085.359375,7.473924203253329e-08,0.002578808354143648,-0.12441384615378409,-0.11057511940218526,0.013838726751598834,6875.207421875,0.0005138477915273849,0.2942897230398748,11
dynamic_object_area_ratio,valence,0.007517833323055353,0.01821993663907051,0.018092870712280273,0.0020707808434963226,0.04729824885725975,-0.13306235382698567,-0.002407479964463344,-0.10525009759532147,-0.11886695960580337,-0.0136168620104819,0.004522746801376343,-0.0006018073351546066,-0.26491197929618066,12
car_speed_mean,valence,0.0062443457354590904,51.33443832397461,48.274681091308594,9.948451042175293,83.83279418945312,3.135300942524146e-05,0.001513556531256324,-0.11792210784923282,-0.10842589560171313,0.00949621224751969,7.388434314727784,0.00023164965070743762,0.20009447851108966,13
enclosure_crowding_stress,valence,0.0051541504847942045,293.7424011230469,1275.64697265625,0.002587884198874235,2.8843817710876465,-8.548908445485413e-07,-0.0010905389177998915,-0.11106496851720844,-0.11106496851720844,0.0,0.2881793886888772,-2.463619209777166e-07,-0.1845709576936791,14
road_coverage,valence,0.006494679272750274,0.3351650834083557,0.052854519337415695,0.26127609610557556,0.41115468740463257,-0.003699195846513208,-0.00019551921840242015,-0.12569096461033502,-0.10963517896404637,0.01605578564628865,0.014987859129905702,-5.544302624147223e-05,-0.02253121231775163,15
