feature,importance_mean,importance_std,rank
sky_visibility,0.027297238494376798,0.02304117690684196,1
sidewalk_coverage,0.014260402169168542,0.01605013800773651,2
building_oppression,0.01034109567112541,0.007078138632738638,3
road_coverage,0.008823083577257668,0.008784342240614506,4
total_object_count,0.008676423831372652,0.006155973966352724,5
min_ttc,0.007349294989011974,0.008607874163229242,6
drivable_width_mean,0.00722422935367468,0.004670136284391225,7
green_coverage,0.006696385675873608,0.004535841108972558,8
traffic_sign_count,0.006672257675167455,0.00640146067213202,9
enclosure_crowding_stress,0.006471180940443352,0.004838385599134397,10
wall_fence_coverage,0.0062983321036910594,0.005935758088525383,11
openness_index,0.006158003380683679,0.005947844334442908,12
semantic_monotony_fatigue,0.005965929998702682,0.004007085297540898,13
dynamic_object_area_ratio,0.005114803897482373,0.004043210961004877,14
car_speed_mean,0.004770308977738177,0.004119110134419444,15
car_accel_mean,0.0038743343016316833,0.003562903889350892,16
drivable_coverage,0.003712816190791125,0.0028255384985105166,17
car_jerk_mean,0.0030849333360339556,0.003891702681747316,18
car_count,0.0030138901955496285,0.002368643702827093,19
interaction_risk_integral_itcc,0.002376297335672245,0.0016086961163371478,20
building_coverage,0.0020927260295183115,0.001585398986476927,21
exposed_vru_conflict_index,0.0009457924006837832,0.000632282616100352,22
drivable_occupancy_ratio,0.0008938429168526348,0.0006806935007288246,23
road_curvature_mean,0.0008559192467556637,0.0008209457808871286,24
risk_count,0.000831658406655887,0.0006540912299600537,25
green_buffer_under_congestion,0.0006884535913953992,0.0004695042567947841,26
vru_drivable_intrusion_rate,0.0006247264217696644,0.0006684001110471463,27
person_count,9.304926880709979e-05,0.00013183957526144994,28
pedestrian_crossing_count,6.6111844188605155e-06,8.171744176187692e-06,29
lane_offset,0.0,0.0,30
