feature,importance_mean,importance_std,rank
sky_visibility,0.026052248,0.026689863,1
sidewalk_coverage,0.013974799,0.019087335,2
road_coverage,0.010743166,0.009841505,3
traffic_sign_count,0.008403699,0.0067734085,4
openness_index,0.008151218,0.0081145,5
car_speed_mean,0.0074822623,0.0152439885,6
green_coverage,0.0072484384,0.00584277,7
dynamic_object_area_ratio,0.007030403,0.0057917014,8
building_oppression,0.007026373,0.00520933,9
enclosure_crowding_stress,0.0057185986,0.0025414473,10
drivable_coverage,0.0055370484,0.0065924637,11
total_object_count,0.005411237,0.005400539,12
drivable_width_mean,0.0045288247,0.0050250613,13
car_accel_mean,0.004311661,0.006588993,14
semantic_monotony_fatigue,0.004103902,0.0027389457,15
car_count,0.0035922392,0.0035429366,16
min_ttc,0.0030071647,0.0048222956,17
car_jerk_mean,0.002610303,0.0029110368,18
building_coverage,0.0025607958,0.00354068,19
wall_fence_coverage,0.002207023,0.00183655,20
green_buffer_under_congestion,0.0011000312,0.0007107685,21
interaction_risk_integral_itcc,0.0010468281,0.0017580703,22
drivable_occupancy_ratio,0.00095019734,0.00089505373,23
exposed_vru_conflict_index,0.000919412,0.0020534259,24
vru_drivable_intrusion_rate,0.00076058065,0.0010446256,25
risk_count,0.00060420955,0.000786758,26
pedestrian_crossing_count,0.00060134876,0.001114415,27
person_count,0.0005914131,0.0020741348,28
road_curvature_mean,0.00031275963,0.00041271848,29
lane_offset,0.0,0.0,30
