feature,importance_mean,importance_std,rank
sky_visibility,0.03860501,0.036204066,1
green_coverage,0.020450791,0.010181732,2
sidewalk_coverage,0.019232858,0.021743814,3
building_oppression,0.010341588,0.008123824,4
car_accel_mean,0.009236092,0.01354283,5
dynamic_object_area_ratio,0.007971847,0.007596082,6
min_ttc,0.0070146066,0.007824741,7
enclosure_crowding_stress,0.0064685987,0.0068785357,8
drivable_width_mean,0.0060296957,0.0038654315,9
traffic_sign_count,0.0057217837,0.005120295,10
road_coverage,0.0056369407,0.007079233,11
openness_index,0.0052925674,0.00367321,12
car_count,0.0052548912,0.005467188,13
building_coverage,0.005068711,0.009571382,14
total_object_count,0.0048907166,0.005575087,15
car_jerk_mean,0.004790464,0.008674367,16
car_speed_mean,0.0043135574,0.0046999888,17
wall_fence_coverage,0.0037620957,0.002419079,18
vru_drivable_intrusion_rate,0.003028121,0.0038578226,19
drivable_coverage,0.0029259056,0.003338719,20
exposed_vru_conflict_index,0.00288652,0.0048541306,21
semantic_monotony_fatigue,0.0023192375,0.0019067489,22
person_count,0.0023190514,0.0034556289,23
drivable_occupancy_ratio,0.0016064269,0.0015045727,24
green_buffer_under_congestion,0.0009919568,0.00072412327,25
risk_count,0.00092986756,0.0020058407,26
interaction_risk_integral_itcc,0.00081702287,0.00088410225,27
road_curvature_mean,0.0007825686,0.0012266248,28
pedestrian_crossing_count,0.00020931674,0.00058700185,29
lane_offset,0.0,0.0,30
