Participant_id,Valence1,Arousal1,Valence2,Arousal2,Valence3,Arousal3,Valence4,Arousal4,Valence5,Arousal5
32,0.25,0.25,0.5,0.125,-0.75,0.75,0,0.125,-0.5,0.625
33,0.75,0,-0.25,0.5,-0.5,0.75,-0.25,0.375,-0.25,0.25
34,0.25,0.625,0.5,0.875,0.25,0.875,0,0.75,-0.25,0.625
35,0,0.125,0.25,0.5,0.25,0.125,0.25,0.25,0,0
36,0.5,0.25,0.5,0.625,-0.25,0.75,0.25,0.625,0,0.625
37,-0.5,0.75,0,0.375,0.75,0.125,-0.75,0.75,0,0
38,-0.5,0.625,-0.75,0.75,-0.75,0.875,-1,0.75,-0.5,0.5
39,0.25,0.375,-0.5,0.625,0.25,0.75,-0.75,0.75,-0.25,0.75
40,0.5,0.25,-0.75,0.875,-0.75,0.875,-0.5,0.625,-0.25,0.375
41,0.25,0.25,-0.25,0.375,-0.75,0.75,-0.25,0.625,-0.5,0.625
42,0.5,0.375,0.5,0.75,-0.5,0.875,1,0,0.75,0.125
43,0,0.25,0.5,0.75,-0.25,0.75,-0.25,0.75,-0.25,0.625
44,-0.25,0.625,0,0.25,0,0.75,0,0.125,0.25,0.125
45,0.25,0.625,0.5,0.75,-0.5,0.875,-0.75,0.75,-0.25,0.625
46,0.5,0.375,0.25,0.625,-0.5,0.875,0.75,1,-0.5,0.375
47,-0.25,0.5,0.75,0.875,-0.75,0.125,1,0.5,0,0.5
48,-0.25,0.25,1,0.875,-1,0.875,0.75,0.75,-0.75,1
49,0.75,0.875,0.25,0.75,-1,0.875,-0.75,0.125,-0.25,0.375
