Participant_id,Valence1,Arousal1,Valence2,Arousal2,Valence3,Arousal3,Valence4,Arousal4,Valence5,Arousal5,Valence6,Arousal6,Valence7,Arousal7,Valence8,Arousal8,Valence9,Arousal9,Valence10,Arousal10
53,0.75,0.0,-0.25,0.25,-0.25,0.375,0.0,0.125,0.0,0.125,0.5,0.125,1.0,0.125,1.0,0.0,1.0,0.0,0.5,0.125
54,0.25,0.125,0.25,0.0,-0.5,0.5,0.0,0.625,-0.75,0.75,0.5,0.25,0.5,0.25,0.75,0.375,0.75,0.0,0.0,0.375
55,0.25,0.25,0.0,0.375,-0.5,0.875,0.5,0.625,-0.75,0.75,0.25,0.125,0.0,0.0,-0.25,0.25,0.75,0.125,0.25,0.375
56,0.0,0.0,0.0,0.125,-0.5,0.5,-0.25,0.25,-0.25,0.25,0.0,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.0,0.125
57,0.75,0.0,-0.25,0.375,-0.5,0.75,0.25,0.625,1.0,0.75,0.75,0.125,0.75,0.25,0.0,0.375,-0.25,0.875,0.25,0.625
58,0.25,0.0,0.75,0.375,-0.5,0.375,-0.25,0.125,1.0,0.625,-0.5,0.25,0.5,0.0,-1.0,0.5,0.75,0.125,1.0,0.25
59,-0.25,0.25,-0.5,0.5,-0.25,0.5,-0.75,0.75,-1,1,0.25,-0.25,0.75,0.25,0.5,0.5,0.75,0.75,-0.25,0.75
60,0.0,0.5,0.0,0.5,-0.5,0.75,-0.25,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
61,0.0,0.0,0.0,0.25,0.0,0.25,-0.25,0.25,-0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.125
62,1.0,0.0,0.25,0.375,0.0,0.5,0.25,0.625,-0.75,0.75,0.5,0.25,-0.75,0.0,-0.5,0.25,0.25,0.125,0.25,0.5
63,0.75,0.375,-0.75,0.75,-0.25,0.875,0.5,0.5,-1,0.625,0.25,0.125,0.5,0.125,1,0.125,1,0.375,0.75,0.625
64,0.75,0.25,-0.5,0.125,-0.75,0.25,-0.25,0.125,0,0.25,0.75,0.25,-0.5,0.125,-0.25,0.375,-0.75,0.125,0,0
65,0.5,0.25,-0.25,0.125,0.25,0.375,0.0,0.375,0.25,0.25,0.0,0.125,0.0,0.125,0.5,0.25,0.5,0.25,0.25,0.125
66,-0.25,0.375,-0.25,0.625,-0.25,0.625,-0.5,0.75,-0.5,0.625,0.5,0.375,0.0,0.5,-0.5,0.75,0.5,0.25,-0.25,0.375
67,0.25,0.125,0.0,0.125,0.0,0.375,-0.25,0.25,-0.25,0.125,0.25,0.125,0.25,0.125,0.25,0.125,0.25,0.125,0.0,0.125
68,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
69,-0.5,0.625,0.0,0.125,0.5,0.75,-0.25,0.5,0.25,0.625,0.25,0.25,0.0,0.25,0.25,0.375,0.0,0.25,0.0,0.375
70,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.5,0.0,0.625,-0.25,0.625,0.0,0.0,-0.25,0.625,0.0,0.0,0.0,0.25
71,0.0,0.375,0.25,0.25,-0.25,0.625,-0.25,0.375,-0.25,0.625,0.5,0.25,0.75,0.375,0.0,0.25,0.5,0.5,0.0,0.25
72,-0.5,0.375,-0.25,0.375,-0.5,0.75,-0.5,0.75,-0.75,0.75,1.0,0.75,0.25,0.375,0.25,0.375,0.75,0.125,0.5,0.25
73,0.0,0.0,0.0,0.0,-0.25,0.5,-0.5,0.625,-0.75,0.75,0.0,0.0,0.5,0.0,0.25,0.125,-0.5,0.625,0.0,0.125
74,0.0,0.5,0.0,0.375,0.0,0.375,0.25,0.25,0.0,0.625,0.0,0.25,0.0,0.625,0.0,0.375,-0.25,0.75,0.0,0.375
75,0.0,0.5,0.75,0.625,-0.5,0.625,1,0.0,-0.5,0.875,1,0.0,-0.75,0.875,0.75,0.0,-0.75,0.875,0.25,0.5
76,0.75,0.25,0.5,0.25,-0.25,0.25,0.75,0.625,0.75,0.875,0.75,0.75,0.75,0.25,0.75,0.75,-0.5,0.875,-0.75,0.75
77,0.0,0.375,0.0,0.125,0.0,0.5,0.0,0.0,-0.5,0.5,0.25,0.125,-0.25,0.375,0.5,0.25,-0.25,0.375,0.5,0.25
78,0.0,0.625,0.25,0.5,0.25,0.5,0.0,0.5,0.5,0.625,0.0,0.5,0.25,0.5,0.0,0.5,0.25,0.5,0.0,0.5
79,0.75,0.25,1.0,0.0,-0.75,-0.125,1.0,0.0,-1,0.125,-1,0.0,0.75,0.25,1.0,0.0,0.5,0.5,0.75,0.125
80,-0.5,0.125,1.0,0.0,-0.75,0.375,-0.25,0.0,-0.75,0.75,-0.25,0.625,-0.75,0.375,0.75,0.125,-0.75,0.625,-0.75,0.625
81,-0.25,0.25,1.0,0.0,0.75,0.125,1.0,0.0,0.25,0.5,1.0,0.125,0.25,0.375,1.0,0.0,-0.25,0.75,0.75,0.125
82,0.0,0.75,0.75,0.25,-0.5,0.625,0.25,0.5,-0.75,1.0,0.5,0.375,-0.75,0.75,1.0,0.125,-0.75,0.625,0.5,0.125
83,0.0,0.375,0.5,0.75,0.25,0.375,0.75,0.375,-0.25,1.0,0.5,0.5,0.75,0.75,0.75,0.25,0.25,0.625,0.75,0.5
84,0.0,0.625,1.0,0.0,0.75,0.125,1.0,0.0,-0.75,0.875,0.75,0.125,-0.5,0.75,1.0,0.125,0.0,0.75,0.0,0.25
85,0.25,0.25,0.5,0.0,0.25,0.125,0.75,0.125,0.5,0.0,0.75,0.125,0.5,0.25,0.5,0.25,0.75,0.375,0.75,0.375
86,0.0,0.0,0.5,0.5,-0.25,0.375,0.25,0.0,-0.5,0.75,0.25,0.0,-0.75,0.75,0.0,0.25,-0.75,0.875,-0.25,0.75
87,-0.5,0.875,0.75,0.125,-0.75,1,0.75,0.0,-0.5,0.875,-0.75,0.0,-1,0.875,0.5,0.125,-0.25,0.25,0.5,0.125
88,0.0,0.5,0.0,0.5,0.25,0.625,0.0,0.5,-0.25,0.5,0.0,0.5,0.5,0.5,-0.5,0.25,-0.75,0.375,-0.5,0.25
89,1,0.125,0.75,0.375,0.75,0.25,1,0,0.5,0.25,1,0,0.75,0.25,1,0,-0.5,0.5,0,0.75								
90,1,0.25,0.75,0.375,0.5,0.375,0.5,0.25,0.75,0.25,0.75,0.25,0,0.625,0,0.625,-0.5,0.875,0,0.5								
91,-0.5,0.125,1,0.375,-0.75,0.875,0.75,0.25,-0.5,0.875,0.25,0.375,-0.5,0.875,0.25,0.375,-0.5,0.375,-0.25,0.5								
92,0.5,0.5,1,0.75,-0.25,0.625,1,0.5,-0.5,0.75,0.5,0.75,-0.75,0.25,1,0,-0.75,0.75,0.75,1								
93,0,0,-0.5,0.5,0.25,0.125,0,0,0.25,0.75,0.5,0,-0.5,0,0,0,-0.25,0,0.25,0								
94,0,0,0,0.25,0,0.375,0,0.125,0,0.625,0,0.25,0,0.25,-0.75,0.25,0,0.25,-0.75,0								
95,-0.25,0.25,0.25,0.125,-0.25,0.125,0.5,0.125,-0.5,0.125,0.5,0.125,-0.25,0.125,-0.5,0.375,-0.75,0.75,0.25,0.25								
